CustomerID,Lookalikes
C0001,"[('C0184', 0.9884057348339805), ('C0192', 0.9848054935369039), ('C0091', 0.9773869853115527)]"
C0002,"[('C0106', 0.986316132311974), ('C0134', 0.984552568039342), ('C0088', 0.9707886487018517)]"
C0003,"[('C0031', 0.9849026308585613), ('C0052', 0.9807834184800983), ('C0076', 0.9753712911529497)]"
C0004,"[('C0165', 0.9841849237930819), ('C0155', 0.9812693344839204), ('C0082', 0.9802641692863294)]"
C0005,"[('C0140', 0.9859384669246574), ('C0007', 0.9845408420146032), ('C0186', 0.978070233926924)]"
C0006,"[('C0191', 0.9901188724124779), ('C0126', 0.9830512533163357), ('C0187', 0.9797710171921443)]"
C0007,"[('C0005', 0.9845408420146032), ('C0140', 0.968544378697851), ('C0186', 0.9616855885899113)]"
C0008,"[('C0065', 0.9826743708233137), ('C0059', 0.9658302133067946), ('C0189', 0.9621939108651221)]"
C0009,"[('C0061', 0.9780035057417577), ('C0103', 0.9685669874493819), ('C0010', 0.9605747527329802)]"
C0010,"[('C0061', 0.9885430849082796), ('C0103', 0.981725872640038), ('C0149', 0.9788617463337842)]"
C0011,"[('C0171', 0.9906553395332817), ('C0174', 0.9901475746887695), ('C0118', 0.9877189446474504)]"
C0012,"[('C0195', 0.9891931135077451), ('C0076', 0.9719290787087675), ('C0163', 0.9644805372652736)]"
C0013,"[('C0099', 0.9753464828860967), ('C0108', 0.9607292067246359), ('C0107', 0.9501838140633647)]"
C0014,"[('C0182', 0.8592465958920616), ('C0060', 0.8220107321595399), ('C0089', 0.7964970206376054)]"
C0015,"[('C0185', 0.9761746224410033), ('C0125', 0.9613348470395341), ('C0036', 0.9601860702863868)]"
C0016,"[('C0042', 0.9753695643821171), ('C0183', 0.9659375030337424), ('C0030', 0.96104023713203)]"
C0017,"[('C0041', 0.9903057450597677), ('C0075', 0.987886442869324), ('C0057', 0.9752381954201673)]"
C0018,"[('C0117', 0.9916506305092126), ('C0046', 0.9871884254980977), ('C0024', 0.981902078318485)]"
C0019,"[('C0135', 0.9891577060817213), ('C0023', 0.9795289885616582), ('C0132', 0.9788010413575031)]"
C0020,"[('C0026', 0.885583484455726), ('C0035', 0.8699771929107192), ('C0050', 0.8670223132216881)]"
